Truck ID,VIN,DVR Serial Number,Gateway (OBC) Serial Number,Bus speed,FW Updated,Config Updated,FTVision,Kibana,CAN data,VI 2.0 Location,VI 2.0 Watch Live,VI 2.0 Events,vDevices config,Registered in VI 1.0,Registered in VI 2.0,Observation,ADAS,POD PASSENGER,DRIVER FACING / BACK UP,POD DRIVER,Print,Observation
312216,3AKJHHDR9NSNN8677,0071008ABB,23023439,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312218,3AKJHHDR2NSNN8679,0071008AC7,23024616,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212209,3AKJHLDVXNDNC8653,0071008B5F,23023508,500k,Yes,No,Yes,Yes,Yes,,,,,Yes,No,Not registered in VI2.0,,,,,,
312211,3AKJHHDRXNSNN8672,0071008DBD,23024559,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212208,3AKJHLDV8NDNC8652,0071008E4C,23023123,500k,Yes,No,Yes,Yes,Yes,,,,,Yes,Yes,Registered in Vi2.0,,,,,,
312214,3AKJHHDR5NSNN8675,0071008E91,23023437,500k,Yes,No,Yes,Yes,Yes,,,,,Yes,No,Not registered in VI2.0,,,,,,
312219,3AKJHHDR9NSNN8680,0071008EA2,23023444,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Observation,Observation,Observation,Observation,,Channel 1 - Is not working ; Channel 3 - Pod Passanger ; Channel 2 - Driver Facing ; Channel 4 - Pod Passenger
312212,3AKJHHDR1NSNN8673,0071008ED1,23023478,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
252402,1M1AN2GY1RM041918,0071008F01,23024555,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212009,3AKJHLDR4LSLN3090,00710090CA,23023126,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
312201,3AKJHHDR3NSNM0076,0071009189,23023446,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212207,3AKJHLDV6NDNC8651,0071009647,23023449,500k,Yes,Yes,Yes,Yes,Yes,No,No,,,Yes,No,Not registered in VI2.0,,,,,,
212302,3AKJHLDR5PDUH3261,00710096A1,23023510,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212206,3AKJHLDV4NDNC8650,0071009947,23023518,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Observation,Yes,,Channel 3 - Bad position and Blurry image; 
212301,3AKJHLDR3PDUH3260,0071009983,23023450,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
211903,3AKJHLDRXKSKL5463,0071009B33,23023520,undefined,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Ignition is always on,Yes,Yes,Yes,Yes,,
212202,3AKJHLDV2NDNC8646,0071009C36,23023127,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212005,1FUJHLDR2LLKX6523,0071009C60,23023533,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212201,3AKJHLDV0NDNC8645,0071009D62,23023521,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
212102,1FUJHTFM3MLMZ6787,007100A5CE,23023519,500k,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
492201,11VJ813A5NA000820,N/A,12031053,undefined,No,No,,,,,,,,No,No,,,,,,,
491902,11VJ813A9KA000976,N/A,12000698,undefined,No,No,,,,,,,,No,No,,,,,,,
309,1XPVDP9X5ED224642,N/A,6512837,undefined,No,No,,,,,,,,No,No,,,,,,,
231702,3HSDJAPR1HN641306,N/A,N/A,undefined,No,No,,,,,,,,No,No,,,,,,,
231703,3HSDJAPR3HN641307,N/A,N/A,undefined,No,No,,,,,,,,No,No,,,,,,,
231701,3HSDJAPR5HN641308,N/A,N/A,undefined,No,No,,,,,,,,No,No,,,,,,,
591901,,N/A,23024554,undefined,No,No,,,,,,,,No,No,,,,,,,
591601,,N/A,23023445,undefined,No,No,,,,,,,,No,No,,,,,,,
